============================================================
Biblioteca : basepropr_dlib
Inicio     : 2026-06-28 17:13:22
============================================================
[2026-06-28 17:13:22] INFO: Dataset=BasePropr | Pares=4092
[2026-06-28 17:13:33] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_45_30cm.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:25:19] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_02.jpeg, score=0.3865, label=1, decision=MATCH
[2026-06-28 17:25:32] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_03.jpeg, score=0.3469, label=1, decision=MATCH
[2026-06-28 17:25:43] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_04.jpeg, score=0.3341, label=1, decision=MATCH
[2026-06-28 17:25:54] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_05.jpeg, score=0.4280, label=1, decision=MATCH
[2026-06-28 17:26:08] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_06.jpeg, score=0.2822, label=1, decision=MATCH
[2026-06-28 17:26:19] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_07.jpeg, score=0.2866, label=1, decision=MATCH
[2026-06-28 17:26:30] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_08.jpeg, score=0.3237, label=1, decision=MATCH
[2026-06-28 17:26:44] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4552, label=1, decision=MATCH
[2026-06-28 17:26:55] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4789, label=1, decision=MATCH
[2026-06-28 17:27:06] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.2912, label=1, decision=MATCH
[2026-06-28 17:27:20] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.2507, label=1, decision=MATCH
[2026-06-28 17:27:31] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.1508, label=1, decision=MATCH
[2026-06-28 17:27:42] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.3244, label=1, decision=MATCH
[2026-06-28 17:27:56] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.3323, label=1, decision=MATCH
[2026-06-28 17:28:06] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_01.jpeg, score=0.3868, label=1, decision=MATCH
[2026-06-28 17:28:17] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_02.jpeg, score=0.4244, label=1, decision=MATCH
[2026-06-28 17:28:31] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_03.jpeg, score=0.4183, label=1, decision=MATCH
[2026-06-28 17:28:42] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_04.jpeg, score=0.4168, label=1, decision=MATCH
[2026-06-28 17:28:53] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_05.jpeg, score=0.3980, label=1, decision=MATCH
[2026-06-28 17:29:07] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_06.jpeg, score=0.3165, label=1, decision=MATCH
[2026-06-28 17:29:18] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_07.jpeg, score=0.3310, label=1, decision=MATCH
[2026-06-28 17:29:29] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_08.jpeg, score=0.3727, label=1, decision=MATCH
[2026-06-28 17:29:43] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.2168, label=1, decision=MATCH
[2026-06-28 17:29:54] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.2577, label=1, decision=MATCH
[2026-06-28 17:30:05] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3620, label=1, decision=MATCH
[2026-06-28 17:30:19] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.3750, label=1, decision=MATCH
[2026-06-28 17:30:29] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.3577, label=1, decision=MATCH
[2026-06-28 17:30:40] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.3569, label=1, decision=MATCH
[2026-06-28 17:30:54] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_01.jpeg, score=0.4096, label=1, decision=MATCH
[2026-06-28 17:31:05] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_02.jpeg, score=0.4439, label=1, decision=MATCH
[2026-06-28 17:31:16] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_03.jpeg, score=0.4445, label=1, decision=MATCH
[2026-06-28 17:31:30] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_04.jpeg, score=0.4468, label=1, decision=MATCH
[2026-06-28 17:31:41] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_05.jpeg, score=0.3961, label=1, decision=MATCH
[2026-06-28 17:31:52] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_06.jpeg, score=0.3412, label=1, decision=MATCH
[2026-06-28 17:32:06] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_07.jpeg, score=0.3600, label=1, decision=MATCH
[2026-06-28 17:32:17] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_08.jpeg, score=0.3962, label=1, decision=MATCH
[2026-06-28 17:32:28] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.2472, label=1, decision=MATCH
[2026-06-28 17:32:41] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.2338, label=1, decision=MATCH
[2026-06-28 17:32:52] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3977, label=1, decision=MATCH
[2026-06-28 17:33:03] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.4006, label=1, decision=MATCH
[2026-06-28 17:33:17] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.2125, label=1, decision=MATCH
[2026-06-28 17:33:28] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_01.jpeg, score=0.2617, label=1, decision=MATCH
[2026-06-28 17:33:39] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_02.jpeg, score=0.3503, label=1, decision=MATCH
[2026-06-28 17:33:53] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_03.jpeg, score=0.2763, label=1, decision=MATCH
[2026-06-28 17:34:04] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_04.jpeg, score=0.3353, label=1, decision=MATCH
[2026-06-28 17:34:15] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_05.jpeg, score=0.3630, label=1, decision=MATCH
[2026-06-28 17:34:29] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_06.jpeg, score=0.2138, label=1, decision=MATCH
[2026-06-28 17:34:39] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_07.jpeg, score=0.2046, label=1, decision=MATCH
[2026-06-28 17:34:50] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_08.jpeg, score=0.2063, label=1, decision=MATCH
[2026-06-28 17:35:04] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.3623, label=1, decision=MATCH
[2026-06-28 17:35:15] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4116, label=1, decision=MATCH
[2026-06-28 17:35:26] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.2014, label=1, decision=MATCH
[2026-06-28 17:35:40] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.2548, label=1, decision=MATCH
[2026-06-28 17:35:51] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_01.jpeg, score=0.1894, label=1, decision=MATCH
[2026-06-28 17:36:05] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_02.jpeg, score=0.3366, label=1, decision=MATCH
[2026-06-28 17:36:16] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_03.jpeg, score=0.2861, label=1, decision=MATCH
[2026-06-28 17:36:27] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_04.jpeg, score=0.3036, label=1, decision=MATCH
[2026-06-28 17:36:41] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_05.jpeg, score=0.3609, label=1, decision=MATCH
[2026-06-28 17:36:52] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_06.jpeg, score=0.1861, label=1, decision=MATCH
[2026-06-28 17:37:03] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_07.jpeg, score=0.1367, label=1, decision=MATCH
[2026-06-28 17:37:16] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_08.jpeg, score=0.2553, label=1, decision=MATCH
[2026-06-28 17:37:27] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.3791, label=1, decision=MATCH
[2026-06-28 17:37:38] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4078, label=1, decision=MATCH
[2026-06-28 17:37:52] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.2115, label=1, decision=MATCH
[2026-06-28 17:38:03] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.1867, label=1, decision=MATCH
[2026-06-28 17:38:14] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_02.jpeg, score=0.3293, label=1, decision=MATCH
[2026-06-28 17:38:28] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_03.jpeg, score=0.3123, label=1, decision=MATCH
[2026-06-28 17:38:39] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_04.jpeg, score=0.2868, label=1, decision=MATCH
[2026-06-28 17:38:51] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_05.jpeg, score=0.3966, label=1, decision=MATCH
[2026-06-28 17:39:04] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_06.jpeg, score=0.2308, label=1, decision=MATCH
[2026-06-28 17:39:15] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_07.jpeg, score=0.1930, label=1, decision=MATCH
[2026-06-28 17:39:28] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_08.jpeg, score=0.2484, label=1, decision=MATCH
[2026-06-28 17:39:40] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4471, label=1, decision=MATCH
[2026-06-28 17:39:52] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4623, label=1, decision=MATCH
[2026-06-28 17:40:04] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.2539, label=1, decision=MATCH
[2026-06-28 17:40:16] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.2293, label=1, decision=MATCH
[2026-06-28 17:40:27] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_03.jpeg, score=0.3684, label=1, decision=MATCH
[2026-06-28 17:40:39] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_04.jpeg, score=0.3628, label=1, decision=MATCH
[2026-06-28 17:40:51] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_05.jpeg, score=0.3685, label=1, decision=MATCH
[2026-06-28 17:41:03] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_06.jpeg, score=0.3709, label=1, decision=MATCH
[2026-06-28 17:41:15] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_07.jpeg, score=0.3285, label=1, decision=MATCH
[2026-06-28 17:41:27] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_08.jpeg, score=0.3282, label=1, decision=MATCH
[2026-06-28 17:41:39] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4370, label=1, decision=MATCH
[2026-06-28 17:41:51] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4409, label=1, decision=MATCH
[2026-06-28 17:42:03] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3563, label=1, decision=MATCH
[2026-06-28 17:42:15] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.3628, label=1, decision=MATCH
[2026-06-28 17:42:27] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_04.jpeg, score=0.2829, label=1, decision=MATCH
[2026-06-28 17:42:39] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_05.jpeg, score=0.3719, label=1, decision=MATCH
[2026-06-28 17:42:51] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_06.jpeg, score=0.3127, label=1, decision=MATCH
[2026-06-28 17:43:02] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_07.jpeg, score=0.2978, label=1, decision=MATCH
[2026-06-28 17:43:14] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_08.jpeg, score=0.2450, label=1, decision=MATCH
[2026-06-28 17:43:26] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4407, label=1, decision=MATCH
[2026-06-28 17:43:38] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4673, label=1, decision=MATCH
[2026-06-28 17:43:50] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3004, label=1, decision=MATCH
[2026-06-28 17:44:02] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.2688, label=1, decision=MATCH
[2026-06-28 17:44:13] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_extra_05.jpeg, score=0.3917, label=1, decision=MATCH
[2026-06-28 17:44:25] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_extra_06.jpeg, score=0.3165, label=1, decision=MATCH
[2026-06-28 17:44:37] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_extra_07.jpeg, score=0.3060, label=1, decision=MATCH
[2026-06-28 17:44:49] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_extra_08.jpeg, score=0.2964, label=1, decision=MATCH
[2026-06-28 17:45:00] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4736, label=1, decision=MATCH
[2026-06-28 17:45:12] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4812, label=1, decision=MATCH
[2026-06-28 17:45:24] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3239, label=1, decision=MATCH
[2026-06-28 17:45:35] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.2955, label=1, decision=MATCH
[2026-06-28 17:45:47] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_extra_06.jpeg, score=0.3220, label=1, decision=MATCH
[2026-06-28 17:45:59] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_extra_07.jpeg, score=0.3542, label=1, decision=MATCH
[2026-06-28 17:46:11] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_extra_08.jpeg, score=0.3415, label=1, decision=MATCH
[2026-06-28 17:46:23] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4502, label=1, decision=MATCH
[2026-06-28 17:46:35] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4533, label=1, decision=MATCH
[2026-06-28 17:46:47] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3904, label=1, decision=MATCH
[2026-06-28 17:46:59] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.3801, label=1, decision=MATCH
[2026-06-28 17:47:11] PAIR: img1=alessandra_extra_06.jpeg, img2=alessandra_extra_07.jpeg, score=0.1616, label=1, decision=MATCH
[2026-06-28 17:47:23] PAIR: img1=alessandra_extra_06.jpeg, img2=alessandra_extra_08.jpeg, score=0.2656, label=1, decision=MATCH
