============================================================
Biblioteca : basepropr_deepface
Inicio     : 2026-06-29 00:38:11
============================================================
[2026-06-29 00:38:11] INFO: Dataset=BasePropr | Pares=4092
[2026-06-29 00:38:15] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_45_30cm.jpeg, score=0.0835, label=1, decision=MATCH
[2026-06-29 00:39:00] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_01.jpeg, score=0.2534, label=1, decision=MATCH
[2026-06-29 00:39:01] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_02.jpeg, score=0.3422, label=1, decision=MATCH
[2026-06-29 00:39:02] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_03.jpeg, score=0.2902, label=1, decision=MATCH
[2026-06-29 00:39:03] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_04.jpeg, score=0.3440, label=1, decision=MATCH
[2026-06-29 00:39:04] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_05.jpeg, score=0.3018, label=1, decision=MATCH
[2026-06-29 00:39:05] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_06.jpeg, score=0.2746, label=1, decision=MATCH
[2026-06-29 00:39:06] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_07.jpeg, score=0.2598, label=1, decision=MATCH
[2026-06-29 00:39:07] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_08.jpeg, score=0.2749, label=1, decision=MATCH
[2026-06-29 00:39:08] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.5116, label=1, decision=NO_MATCH
[2026-06-29 00:39:09] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.5495, label=1, decision=NO_MATCH
[2026-06-29 00:39:10] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.2517, label=1, decision=MATCH
[2026-06-29 00:39:11] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.2006, label=1, decision=MATCH
[2026-06-29 00:39:11] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.0559, label=1, decision=MATCH
[2026-06-29 00:39:12] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.3239, label=1, decision=MATCH
[2026-06-29 00:39:13] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.4091, label=1, decision=MATCH
[2026-06-29 00:39:13] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_01.jpeg, score=0.4517, label=1, decision=MATCH
[2026-06-29 00:39:14] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_02.jpeg, score=0.5235, label=1, decision=NO_MATCH
[2026-06-29 00:39:15] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_03.jpeg, score=0.5211, label=1, decision=NO_MATCH
[2026-06-29 00:39:16] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_04.jpeg, score=0.4584, label=1, decision=MATCH
[2026-06-29 00:39:16] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_05.jpeg, score=0.5038, label=1, decision=NO_MATCH
[2026-06-29 00:39:17] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_06.jpeg, score=0.3460, label=1, decision=MATCH
[2026-06-29 00:39:18] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_07.jpeg, score=0.4070, label=1, decision=MATCH
[2026-06-29 00:39:19] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_extra_08.jpeg, score=0.4151, label=1, decision=MATCH
[2026-06-29 00:39:19] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.1302, label=1, decision=MATCH
[2026-06-29 00:39:20] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.1470, label=1, decision=MATCH
[2026-06-29 00:39:21] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.4405, label=1, decision=MATCH
[2026-06-29 00:39:21] PAIR: img1=alessandra_boa_45_1m..jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.3859, label=1, decision=MATCH
[2026-06-29 00:39:22] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.3844, label=1, decision=MATCH
[2026-06-29 00:39:23] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.4735, label=1, decision=MATCH
[2026-06-29 00:39:24] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_01.jpeg, score=0.4964, label=1, decision=MATCH
[2026-06-29 00:39:25] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_02.jpeg, score=0.5447, label=1, decision=NO_MATCH
[2026-06-29 00:39:25] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_03.jpeg, score=0.5468, label=1, decision=NO_MATCH
[2026-06-29 00:39:26] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_04.jpeg, score=0.4715, label=1, decision=MATCH
[2026-06-29 00:39:27] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_05.jpeg, score=0.5372, label=1, decision=NO_MATCH
[2026-06-29 00:39:28] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_06.jpeg, score=0.4256, label=1, decision=MATCH
[2026-06-29 00:39:29] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_07.jpeg, score=0.4910, label=1, decision=MATCH
[2026-06-29 00:39:30] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_extra_08.jpeg, score=0.4487, label=1, decision=MATCH
[2026-06-29 00:39:31] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.1705, label=1, decision=MATCH
[2026-06-29 00:39:32] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.1449, label=1, decision=MATCH
[2026-06-29 00:39:33] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.5109, label=1, decision=NO_MATCH
[2026-06-29 00:39:33] PAIR: img1=alessandra_boa_45_30cm.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.4473, label=1, decision=MATCH
[2026-06-29 00:39:34] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.1582, label=1, decision=MATCH
[2026-06-29 00:39:35] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_01.jpeg, score=0.2648, label=1, decision=MATCH
[2026-06-29 00:39:36] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_02.jpeg, score=0.3823, label=1, decision=MATCH
[2026-06-29 00:39:36] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_03.jpeg, score=0.2748, label=1, decision=MATCH
[2026-06-29 00:39:37] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_04.jpeg, score=0.2526, label=1, decision=MATCH
[2026-06-29 00:39:38] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_05.jpeg, score=0.2774, label=1, decision=MATCH
[2026-06-29 00:39:39] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_06.jpeg, score=0.1609, label=1, decision=MATCH
[2026-06-29 00:39:40] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_07.jpeg, score=0.1808, label=1, decision=MATCH
[2026-06-29 00:39:40] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_extra_08.jpeg, score=0.1580, label=1, decision=MATCH
[2026-06-29 00:39:41] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.3613, label=1, decision=MATCH
[2026-06-29 00:39:42] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4385, label=1, decision=MATCH
[2026-06-29 00:39:42] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.1492, label=1, decision=MATCH
[2026-06-29 00:39:43] PAIR: img1=alessandra_boa_frontal_1m..jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.1386, label=1, decision=MATCH
[2026-06-29 00:39:44] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_01.jpeg, score=0.1202, label=1, decision=MATCH
[2026-06-29 00:39:45] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_02.jpeg, score=0.3999, label=1, decision=MATCH
[2026-06-29 00:39:45] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_03.jpeg, score=0.2424, label=1, decision=MATCH
[2026-06-29 00:39:46] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_04.jpeg, score=0.2649, label=1, decision=MATCH
[2026-06-29 00:39:47] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_05.jpeg, score=0.2327, label=1, decision=MATCH
[2026-06-29 00:39:48] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_06.jpeg, score=0.1292, label=1, decision=MATCH
[2026-06-29 00:39:49] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_07.jpeg, score=0.0993, label=1, decision=MATCH
[2026-06-29 00:39:50] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_extra_08.jpeg, score=0.2223, label=1, decision=MATCH
[2026-06-29 00:39:50] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4551, label=1, decision=MATCH
[2026-06-29 00:39:51] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.5077, label=1, decision=NO_MATCH
[2026-06-29 00:39:52] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.1642, label=1, decision=MATCH
[2026-06-29 00:39:53] PAIR: img1=alessandra_boa_frontal_30cm..jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.0905, label=1, decision=MATCH
[2026-06-29 00:39:54] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_02.jpeg, score=0.3911, label=1, decision=MATCH
[2026-06-29 00:39:55] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_03.jpeg, score=0.2891, label=1, decision=MATCH
[2026-06-29 00:39:56] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_04.jpeg, score=0.1831, label=1, decision=MATCH
[2026-06-29 00:39:56] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_05.jpeg, score=0.2993, label=1, decision=MATCH
[2026-06-29 00:39:57] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_06.jpeg, score=0.1609, label=1, decision=MATCH
[2026-06-29 00:39:58] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_07.jpeg, score=0.1059, label=1, decision=MATCH
[2026-06-29 00:39:59] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_extra_08.jpeg, score=0.2604, label=1, decision=MATCH
[2026-06-29 00:40:00] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.5205, label=1, decision=NO_MATCH
[2026-06-29 00:40:01] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.5635, label=1, decision=NO_MATCH
[2026-06-29 00:40:02] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.2904, label=1, decision=MATCH
[2026-06-29 00:40:03] PAIR: img1=alessandra_extra_01.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.1968, label=1, decision=MATCH
[2026-06-29 00:40:04] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_03.jpeg, score=0.3875, label=1, decision=MATCH
[2026-06-29 00:40:05] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_04.jpeg, score=0.4106, label=1, decision=MATCH
[2026-06-29 00:40:05] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_05.jpeg, score=0.2915, label=1, decision=MATCH
[2026-06-29 00:40:06] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_06.jpeg, score=0.4437, label=1, decision=MATCH
[2026-06-29 00:40:07] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_07.jpeg, score=0.4212, label=1, decision=MATCH
[2026-06-29 00:40:08] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_extra_08.jpeg, score=0.2882, label=1, decision=MATCH
[2026-06-29 00:40:09] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.5248, label=1, decision=NO_MATCH
[2026-06-29 00:40:10] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.5609, label=1, decision=NO_MATCH
[2026-06-29 00:40:10] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.4780, label=1, decision=MATCH
[2026-06-29 00:40:11] PAIR: img1=alessandra_extra_02.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.4214, label=1, decision=MATCH
[2026-06-29 00:40:12] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_04.jpeg, score=0.2810, label=1, decision=MATCH
[2026-06-29 00:40:13] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_05.jpeg, score=0.3728, label=1, decision=MATCH
[2026-06-29 00:40:14] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_06.jpeg, score=0.3354, label=1, decision=MATCH
[2026-06-29 00:40:15] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_07.jpeg, score=0.3091, label=1, decision=MATCH
[2026-06-29 00:40:16] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_extra_08.jpeg, score=0.1077, label=1, decision=MATCH
[2026-06-29 00:40:17] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.5317, label=1, decision=NO_MATCH
[2026-06-29 00:40:18] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.5481, label=1, decision=NO_MATCH
[2026-06-29 00:40:18] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3511, label=1, decision=MATCH
[2026-06-29 00:40:19] PAIR: img1=alessandra_extra_03.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.2740, label=1, decision=MATCH
[2026-06-29 00:40:20] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_extra_05.jpeg, score=0.3160, label=1, decision=MATCH
[2026-06-29 00:40:21] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_extra_06.jpeg, score=0.2752, label=1, decision=MATCH
[2026-06-29 00:40:22] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_extra_07.jpeg, score=0.2593, label=1, decision=MATCH
[2026-06-29 00:40:23] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_extra_08.jpeg, score=0.2328, label=1, decision=MATCH
[2026-06-29 00:40:23] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.5530, label=1, decision=NO_MATCH
[2026-06-29 00:40:24] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.5836, label=1, decision=NO_MATCH
[2026-06-29 00:40:25] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3875, label=1, decision=MATCH
[2026-06-29 00:40:26] PAIR: img1=alessandra_extra_04.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.3004, label=1, decision=MATCH
[2026-06-29 00:40:27] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_extra_06.jpeg, score=0.3358, label=1, decision=MATCH
[2026-06-29 00:40:28] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_extra_07.jpeg, score=0.3052, label=1, decision=MATCH
[2026-06-29 00:40:28] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_extra_08.jpeg, score=0.2871, label=1, decision=MATCH
[2026-06-29 00:40:29] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.5269, label=1, decision=NO_MATCH
[2026-06-29 00:40:30] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.5571, label=1, decision=NO_MATCH
[2026-06-29 00:40:31] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.3534, label=1, decision=MATCH
[2026-06-29 00:40:31] PAIR: img1=alessandra_extra_05.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.3016, label=1, decision=MATCH
[2026-06-29 00:40:32] PAIR: img1=alessandra_extra_06.jpeg, img2=alessandra_extra_07.jpeg, score=0.0740, label=1, decision=MATCH
